x,y1,y2,y3,y4
-20.0,100.216064,-19.757296,0.3461139,19.776287
-19.9,99.894684,-19.70282,0.61786354,19.789793
-19.8,99.397385,-19.564255,0.1743704,19.441765
-19.7,98.24446,-19.858267,0.7310719,19.869267
-19.6,97.926956,-19.825966,0.27302822,19.864285
-19.5,97.65645,-19.24702,0.56549937,19.354967
-19.4,96.77327,-19.771715,0.5296186,20.003057
-19.3,96.599434,-18.825197,0.9628524,19.819378
-19.2,96.43564,-19.234894,0.5803844,19.639378
-19.1,95.77868,-19.363642,0.7760972,19.023579
-19.0,95.00798,-18.857887,1.0921495,19.576729
-18.9,94.42597,-19.250895,1.2107438,18.805237
-18.8,94.21914,-18.690472,0.56311834,18.869051
-18.7,93.258995,-18.259855,0.5120812,19.097677
-18.6,93.36629,-18.970709,0.7219044,18.692442
-18.5,92.03465,-18.756424,0.45859176,18.691372
-18.4,92.0899,-17.95949,0.97880435,18.989897
-18.3,91.64678,-18.48691,0.6668906,17.94785
-18.2,91.499794,-18.164236,0.51248455,17.936361
-18.1,90.81834,-18.490631,0.3480106,18.306643
-18.0,89.9343,-17.987041,0.97630864,17.843737
-17.9,89.01894,-17.677275,0.6486041,17.888493
-17.8,88.85713,-17.357866,0.36029384,17.853975
-17.7,88.26929,-17.966549,0.3721001,17.731474
-17.6,88.14712,-17.284676,-0.14946523,17.822075
-17.5,87.82273,-17.004541,0.43274465,17.388071
-17.4,87.19277,-17.518593,-0.345196,17.763912
-17.3,86.423294,-17.722107,-0.01709923,17.339851
-17.2,85.9597,-17.576426,0.069336705,17.493977
-17.1,85.828804,-16.980753,-0.1689819,16.81183
-17.0,85.49723,-16.960266,-0.18683718,16.906319
-16.9,84.744576,-17.039488,0.06304822,16.737387
-16.8,84.489555,-16.61311,-0.5469912,16.934462
-16.7,83.512184,-16.611448,-0.051633995,17.281197
-16.6,83.012794,-16.20925,-0.9315061,17.037596
-16.5,82.1255,-16.649427,-0.43924317,16.797445
-16.4,81.699066,-16.748426,-0.4646616,16.581015
-16.3,81.68474,-16.470997,-0.5472579,16.690533
-16.2,80.7124,-16.548704,-0.5256142,16.550186
-16.1,80.983185,-16.325302,-0.6674261,16.116367
-16.0,79.980515,-16.474537,-1.0704643,16.431368
-15.9,79.50855,-16.156176,-0.7671932,16.075558
-15.8,78.51621,-15.841872,-1.471183,15.87653
-15.7,78.53568,-15.576949,-1.0293621,15.757736
-15.6,77.64773,-16.053892,-1.4378197,15.295482
-15.5,77.57135,-15.965687,-1.2246662,15.94098
-15.4,76.85702,-15.376154,-1.3788488,15.98816
-15.3,76.99969,-15.056992,-1.2359655,15.605391
-15.2,76.40003,-15.6406,-0.7706477,15.067063
-15.1,75.1791,-15.401574,-0.4678916,15.411017
-15.0,74.98277,-15.376664,-0.31828704,14.911917
-14.9,74.03718,-14.960932,-0.82262135,15.01531
-14.8,74.22403,-15.046961,-0.6899271,15.140703
-14.7,73.66269,-15.043823,-0.06455163,14.95215
-14.6,73.11688,-14.157449,0.04958114,15.188983
-14.5,72.71089,-14.106307,-0.049588457,14.614009
-14.4,72.42005,-14.519814,0.123134665,14.983278
-14.3,71.38964,-14.6116,0.117924094,14.419352
-14.2,70.51617,-14.175855,-0.5424541,13.913789
-14.1,70.364456,-13.6676,0.3013138,14.389688
-14.0,69.76037,-14.0819645,-0.27911872,14.048924
-13.9,69.26677,-13.853875,0.07280978,13.960489
-13.8,68.74773,-13.600354,0.5066832,14.01965
-13.7,68.36782,-13.631641,0.62369704,13.762542
-13.6,67.52113,-13.790711,0.8431172,13.42468
-13.5,67.58865,-13.003212,1.0409164,13.4168005
-13.4,67.34961,-13.286857,0.78701884,13.540764
-13.3,66.75445,-13.206454,0.66470665,13.888935
-13.2,66.05821,-12.861023,0.49466562,12.996998
-13.1,65.88972,-12.87527,0.49061978,12.850679
-13.0,65.37314,-12.675137,0.6171582,13.003044
-12.9,64.37775,-13.380107,1.4199628,13.22347
-12.8,64.26943,-13.2542095,0.9104405,13.084166
-12.7,63.71049,-13.055876,0.87442863,12.747979
-12.6,62.81349,-12.520836,0.97653943,13.204966
-12.5,62.338432,-12.424681,1.130102,12.977027
-12.4,61.824894,-12.787897,0.92917866,12.923111
-12.3,61.614487,-12.425665,0.57685965,12.642908
-12.2,61.110416,-12.406188,1.4160794,12.08342
-12.1,60.970814,-12.149001,1.0137038,12.261059
-12.0,59.560577,-11.914244,0.69668454,11.86006
-11.9,59.28356,-11.67572,0.5582948,12.580668
-11.8,58.89771,-12.282682,0.51760083,12.047249
-11.7,58.166225,-11.707616,1.0730041,11.735189
-11.6,58.396214,-11.7605095,0.70749736,11.564286
-11.5,57.96694,-11.864364,0.5355059,12.06865
-11.4,57.067543,-11.139817,0.1316922,11.432887
-11.3,56.97434,-11.285077,0.11201022,11.800447
-11.2,56.16192,-11.323126,0.18797009,11.124427
-11.1,55.675423,-10.918557,0.33303198,10.863776
-11.0,54.93003,-10.647876,-0.13934182,10.930914
-10.9,54.37944,-11.06219,-0.51479596,11.153985
-10.8,53.823128,-11.053716,-0.5652721,11.237475
-10.7,53.105705,-10.639697,0.10837862,10.938251
-10.6,53.42325,-10.755145,-0.38698378,10.553082
-10.5,52.530327,-10.331558,-0.270602,10.587175
-10.4,51.976936,-9.909647,-0.33837235,10.844459
-10.3,51.963837,-10.580439,-0.7339359,10.660577
-10.2,50.535755,-10.46035,-0.8340799,10.530997
-10.1,50.289093,-10.040956,-0.8783527,10.349394
-10.0,49.711903,-10.140548,-0.8790753,10.39802
-9.9,49.33685,-9.684655,-1.2200089,10.043657
-9.8,48.68949,-9.708614,-0.9939818,9.604625
-9.7,48.69504,-9.543547,-0.8770914,9.538756
-9.6,48.182117,-9.836033,-1.480412,9.464171
-9.5,47.33098,-9.957152,-1.0680188,10.2040615
-9.4,46.61019,-9.554957,-0.9876909,10.152611
-9.3,46.7878,-8.877449,-1.049829,9.193734
-9.2,45.95196,-8.888336,-0.58168554,9.3058195
-9.1,45.95657,-8.900334,-1.2253547,9.25917
-9.0,45.062008,-9.28628,-0.5254246,9.635628
-8.9,44.383087,-9.005262,-1.2901372,9.510777
-8.8,44.051376,-9.198661,-0.58606803,8.89366
-8.7,43.201996,-8.567414,-1.0871161,9.236072
-8.6,43.069145,-8.933399,-0.5206226,9.010044
-8.5,42.79281,-8.831956,-0.51185644,8.840784
-8.4,42.242954,-8.4836,-0.6773305,8.6725855
-8.3,41.809715,-8.660711,-0.37859255,8.523438
-8.2,41.12196,-8.33233,-0.12553607,8.572831
-8.1,40.09291,-8.083742,-0.44340873,8.264631
-8.0,40.17562,-7.780302,0.2937958,8.594084
-7.9,39.527805,-8.060854,-0.04250425,7.90406
-7.8,39.30397,-8.242321,0.085105374,8.251449
-7.7,38.180332,-7.6194315,-0.22591467,7.7351165
-7.6,37.844803,-7.7170405,0.7058151,7.470367
